Time,s_boolean,s_int32,s_int64,s_float,s_double,s_text,s_string,s_blob,s_timestamp,s_date
11,true,0,0,0.0,0.0,1234567890,1234567890,iotdb1,0,1970-01-01
12,false,-2147483648,-9223372036854775808,-0.12345678,-0.12345678901234567,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,iotdb2,-9223372036854775808,1000-01-01
13,true,2147483647,9223372036854775807,0.123456789,0.12345678901234567,!@#$%^&*()-=`,!@#$%^&*()-=`,iotdb3,9223372036854775807,9999-12-31
14,true,1,1,1.1234567,1.1234567890123456,没问题,没问题,iotdb4,1,2024-07-25
15,true,1,1,4.123456,4.123456789012345,！（）￥,！（）￥,iotdb5,1,2024-07-25
16,null,1,1,1.0,1.0,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,iotdb6,1,2024-07-25
17,true,null,1,1.0,1.0,,123abc!()$没问题！（）￥,iotdb6,1,2024-07-25
18,true,1,null,1.0,1.0,123abc!()$没问题！（）￥,,iotdb6,1,2024-07-25
19,true,1,1,null,1.0,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,,1,2024-07-25
20,true,1,1,1.0,null, 123abc!()$没问题！（）￥ , 123abc!()$没问题！（）￥ ,iotdb6,1,2024-07-25