time,device_id,auto_id,attribute,auto_attribute,boolean,auto_boolean,int32,auto_int32,int64,auto_int64,float,auto_float,double,auto_double,text,auto_text,string,auto_string,blob,auto_blob,timestamp,auto_timestamp,date,auto_date
1,1,1,1,1,true,true,0,0,0,0,0.0,0.0,0.0,0.0,1234567890,1234567890,1234567890,1234567890,1234567890,1234567890,0,0,1970-01-01,1970-01-01
2,a,1,a,a,false,false,-2147483648,-2147483648,-9223372036854775808,-9223372036854775808,-0.12345678,-0.12345678,-0.12345678901234567,-0.12345678901234567,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,-9223372036854775808,-9223372036854775808,1000-01-01,1000-01-01
3,#$%！@#,#$%,#$%,#$%,true,false,2147483647,2147483647,9223372036854775807,9223372036854775807,0.123456789,0.123456789,0.12345678901234567,0.12345678901234567,!@#$%^&*()-=`,!@#$%^&*()-=`,!@#$%^&*()-=`,!@#$%^&*()-=`,!@#$%^&*()-=`,!@#$%^&*()-=`,9223372036854775807,9223372036854775807,9999-12-31,9999-12-31
4,没问题,没问题,没问题,没问题,false,true,1,1,1,1,1.1234567,1.1234567,1.1234567890123456,1.1234567890123456,没问题,没问题,没问题,没问题,没问题,没问题,1,1,2024-07-25,2024-07-25
5,5abc!@@#！没问题,5abc!@@#！没问题,5abc!@@#！没问题,5abc!@@#！没问题,true,true,1,1,1,1,4.123456,4.123456,4.123456789012345,4.123456789012345,！（）￥,！（）￥,！（）￥,！（）￥,！（）￥,！（）￥,1,1,2024-07-25,2024-07-25
10,null,null,null,null,null,null,1,1,1,1,1.0,1.0,1.0,1.0,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,1,1,2024-07-25,2024-07-25
9,7 1 , 1 1 , 11 ,1 1 ,true,true,null,null,null,null,1.0,1.0,1.0,1.0,null,null,null,null,1,1,2024-07-25,2024-07-25
8, 8 ,1, 1, 1,true,1,1,1,1,null,null,null,null,,,,,,,null,null,2024-07-25,2024-07-25
7,null,null,null,null,true,1,1,1,1,1.0,1.0,1.0,1.0,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,1,1,null,null
6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null